Model,F1 Mean,F1 Std,ROC-AUC Mean,ROC-AUC Std
XGBoost,0.3399428391132139,0.00262300784315762,0.7489403097319878,0.0028959320157599254
Logistic Regression,0.32968281378426,0.001962896547838398,0.7464055664374463,0.003873904018002115
Random Forest,0.21476345938454675,0.0026474748464419048,0.7406923638649205,0.003405444755869856
